wikidata_id,name,latitude,longitude,postal_code
Q8385,Ostrava,49.835555555,18.2925,700 30–739 34
Q14960,Brno,49.195277777,16.608333333,602 00–664 81
Q16506,České Budějovice,48.974722222,14.474722222,370 01–370 11
Q36989,Pardubice,50.03861,15.77916,530 02–533 53
Q43453,Plzeň,49.741388888,13.3825,301 00–326 00
Q48194,Frýdek-Místek,49.688055555,18.353611111,738 01
Q48194,Frýdek-Místek,49.688055555,18.353611111,739 42
Q81137,Olomouc,49.593888888,17.250833333,779 00
Q81137,Olomouc,49.593888888,17.250833333,783 01
Q81137,Olomouc,49.593888888,17.250833333,783 35
Q146307,Děčín,50.773611111,14.196111111,405 02
Q146307,Děčín,50.773611111,14.196111111,405 05
Q146307,Děčín,50.773611111,14.196111111,407 11
Q146342,Teplice,50.633333333,13.816666666,415 01
Q146342,Teplice,50.633333333,13.816666666,415 03
Q146342,Teplice,50.633333333,13.816666666,415 10
Q146351,Liberec,50.766666666,15.05,460 01–463 12
Q146356,Chomutov,50.462777777,13.411111111,430 01
Q146356,Chomutov,50.462777777,13.411111111,430 03
Q146356,Chomutov,50.462777777,13.411111111,430 04
Q146363,Most,50.503055555,13.636666666,434 01
Q146363,Most,50.503055555,13.636666666,435 02
Q147607,Jablonec nad Nisou,50.727777777,15.17,466 01–468 04
Q155993,Kladno,50.143055555,14.105277777,272 01
Q155993,Kladno,50.143055555,14.105277777,273 09
Q155993,Kladno,50.143055555,14.105277777,272 04
Q155993,Kladno,50.143055555,14.105277777,272 03
Q156080,Opava,49.938055555,17.904444444,746 01–747 95
Q156974,Ústí nad Labem,50.659166666,14.041666666,400 01–403 40
Q171018,Zlín,49.233055555,17.666944444,760 01–763 51
Q180139,Hradec Králové,50.209166666,15.831944444,500 02–503 41
Q183111,Jihlava,49.400277777,15.590555555,586 01
Q191793,Karviná,49.854166666,18.542777777,735 06
Q191793,Karviná,49.854166666,18.542777777,734 01
Q191793,Karviná,49.854166666,18.542777777,733 01
Q191793,Karviná,49.854166666,18.542777777,735 03
Q191805,Mladá Boleslav,50.4125,14.906388888,293 01
Q192904,Havířov,49.777777777,18.422777777,736 01
Q192904,Havířov,49.777777777,18.422777777,735 64
Q384544,Karlovy Vary,50.230555555,12.8725,360 01–364 64
Q470380,Přerov,49.455555555,17.451111111,750 02
Q470380,Přerov,49.455555555,17.451111111,751 24
Q470380,Přerov,49.455555555,17.451111111,750 00
Q470380,Přerov,49.455555555,17.451111111,751 27
Q470445,Prostějov,49.472222222,17.110555555,796 01
Q470445,Prostějov,49.472222222,17.110555555,798 11
Q470445,Prostějov,49.472222222,17.110555555,796 04
Q470445,Prostějov,49.472222222,17.110555555,796 03
Q986102,Třinec,49.677609314,18.670814768,739 55
Q986102,Třinec,49.677609314,18.670814768,739 61
Q986102,Třinec,49.677609314,18.670814768,739 94
Q1085,Praha,50.0875,14.421388888,252 26
Q1085,Praha,50.0875,14.421388888,252 26
Q1085,Praha,50.0875,14.421388888,100 00–199 00
Q1085,Praha,50.0875,14.421388888,100 00–199 00
Q1085,Praha,50.0875,14.421388888,252 28
Q1085,Praha,50.0875,14.421388888,252 28
Q3584,Nový Jičín,49.594368444,18.010308756,741 01
Q3584,Nový Jičín,49.594368444,18.010308756,741 01
Q8385,Ostrava,49.835555555,18.2925,700 30–739 34
Q8385,Ostrava,49.835555555,18.2925,700 30–739 34
Q14960,Brno,49.195277777,16.608333333,602 00–664 81
Q16506,České Budějovice,48.974722222,14.474722222,370 01–370 11
Q36989,Pardubice,50.03861,15.77916,530 02–533 53
Q43453,Plzeň,49.741388888,13.3825,301 00–326 00
Q48194,Frýdek-Místek,49.688055555,18.353611111,738 01
Q48194,Frýdek-Místek,49.688055555,18.353611111,739 42
Q81137,Olomouc,49.593888888,17.250833333,779 00
Q81137,Olomouc,49.593888888,17.250833333,783 01
Q81137,Olomouc,49.593888888,17.250833333,783 35
Q146307,Děčín,50.773611111,14.196111111,405 02
Q146307,Děčín,50.773611111,14.196111111,405 02
Q146307,Děčín,50.773611111,14.196111111,405 05
Q146307,Děčín,50.773611111,14.196111111,405 05
Q146307,Děčín,50.773611111,14.196111111,407 11
Q146307,Děčín,50.773611111,14.196111111,407 11
Q146342,Teplice,50.633333333,13.816666666,415 01
Q146342,Teplice,50.633333333,13.816666666,415 01
Q146342,Teplice,50.633333333,13.816666666,415 03
Q146342,Teplice,50.633333333,13.816666666,415 03
Q146342,Teplice,50.633333333,13.816666666,415 10
Q146342,Teplice,50.633333333,13.816666666,415 10
Q146351,Liberec,50.766666666,15.05,460 01–463 12
Q146351,Liberec,50.766666666,15.05,460 01–463 12
Q146356,Chomutov,50.462777777,13.411111111,430 01
Q146356,Chomutov,50.462777777,13.411111111,430 03
Q146356,Chomutov,50.462777777,13.411111111,430 04
Q146363,Most,50.503055555,13.636666666,434 01
Q146363,Most,50.503055555,13.636666666,435 02
Q147607,Jablonec nad Nisou,50.727777777,15.17,466 01–468 04
Q155975,Kutná Hora,49.948444972,15.268225887,284 01
Q155975,Kutná Hora,49.948444972,15.268225887,284 03
Q155975,Kutná Hora,49.948444972,15.268225887,284 04
Q155993,Kladno,50.143055555,14.105277777,272 01
Q155993,Kladno,50.143055555,14.105277777,273 09
Q155993,Kladno,50.143055555,14.105277777,272 04
Q155993,Kladno,50.143055555,14.105277777,272 03
Q156080,Opava,49.938055555,17.904444444,746 01–747 95
Q156974,Ústí nad Labem,50.659166666,14.041666666,400 01–403 40
Q158239,Kroměříž,49.297859972,17.393134863,767 01
Q158245,Písek,49.308880686,14.147530601,397 01
Q171018,Zlín,49.233055555,17.666944444,760 01–763 51
Q180139,Hradec Králové,50.209166666,15.831944444,500 02–503 41
Q183111,Jihlava,49.400277777,15.590555555,586 01
Q188082,Český Krumlov,48.810990441,14.31520771,381 01
Q191097,Tachov,49.795398066,12.633709213,347 01
Q191793,Karviná,49.854166666,18.542777777,735 06
Q191793,Karviná,49.854166666,18.542777777,734 01
Q191793,Karviná,49.854166666,18.542777777,733 01
Q191793,Karviná,49.854166666,18.542777777,735 03
Q191805,Mladá Boleslav,50.4125,14.906388888,293 01
Q193719,Cheb,50.079759165,12.373995588,350 02
Q193719,Cheb,50.079759165,12.373995588,351 34
Q193721,Tábor,49.414485338,14.657835974,390 01–391 56
Q214956,Znojmo,48.855540667,16.048796054,669 02–671 82
Q270704,Třebíč,49.2149674,15.881675935,674 01
Q320939,Mělník,50.350570679,14.474193495,276 01
Q320939,Mělník,50.350570679,14.474193495,277 41
Q320950,Trutnov,50.561045737,15.912798547,541 01
Q320950,Trutnov,50.561045737,15.912798547,541 02
Q320950,Trutnov,50.561045737,15.912798547,541 03
Q320950,Trutnov,50.561045737,15.912798547,542 32
Q321778,Hodonín,48.848950584,17.132439069,695 01
Q327764,Prachatice,49.013013368,13.997533003,383 01
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 01
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 03
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 04
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 06
Q368929,Jindřichův Hradec,49.144110393,15.003024549,377 01
Q384403,Litoměřice,50.533559476,14.131899491,412 01
Q384544,Karlovy Vary,50.230555555,12.8725,360 01–364 64
Q392692,Šumperk,49.965299915,16.970665435,787 01
Q394453,Žďár nad Sázavou,49.562675487,15.939278339,591 01
Q394453,Žďár nad Sázavou,49.562675487,15.939278339,591 02
Q430864,Nymburk,50.186115487,15.041747256,288 02
Q430864,Nymburk,50.186115487,15.041747256,289 13
Q470369,Kolín,50.02819399,15.200633745,280 02
Q470380,Přerov,49.455555555,17.451111111,750 02
Q470380,Přerov,49.455555555,17.451111111,751 24
Q470380,Přerov,49.455555555,17.451111111,750 00
Q470380,Přerov,49.455555555,17.451111111,751 27
Q470394,Benešov,49.781695568,14.687020558,256 01
Q470445,Prostějov,49.472222222,17.110555555,796 01
Q470445,Prostějov,49.472222222,17.110555555,798 11
Q470445,Prostějov,49.472222222,17.110555555,796 04
Q470445,Prostějov,49.472222222,17.110555555,796 03
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 01
