wikidata_id,name,latitude,longitude,postal_code,population,county,region
Q72259,Portsmouth,50.805833333,-1.087222222,,248440,City of Portsmouth,City of Portsmouth
Q79848,Southampton,50.906666666,-1.404444444,,271173,City of Southampton,City of Southampton
Q83065,Leicester,52.636111111,-1.133055555,,464395,City of Leicester,City of Leicester
Q126269,Wolverhampton,52.584166666,-2.125277777,,250970,City of Wolverhampton,City of Wolverhampton
Q128147,Kingston upon Hull,53.744444444,-0.3325,,260200,City of Kingston upon Hull,City of Kingston upon Hull
Q130191,Norwich,52.628611111,1.292777777,,195971,Norwich,Norwich
Q172438,Peterborough,52.5725,-0.243055555,,194000,City of Peterborough,City of Peterborough
Q179351,City of Westminster,51.4975,-0.137222222,,255324,Greater London,Greater London
Q179815,Durham,54.783333333,-1.566666666,,48069,County Durham,County Durham
Q134902,Stoke-on-Trent,53.0,-2.183333333,,245000,City of Stoke-on-Trent,City of Stoke-on-Trent
