wikidata_id,name,latitude,longitude,administrative_division,population,postal_code
,=== 's-Hertogenbosch (2 položek) ===,,,'s-Hertogenbosch,,
Q2766547,'s-Hertogenbosch,51.7,5.316666666,'s-Hertogenbosch,158753,5200–5249
Q2001490,Rosmalen,51.716666666,5.366666666,'s-Hertogenbosch,31219,5240–5249
,=== Achtkarspelen (1 položek) ===,,,Achtkarspelen,,
Q181500,Buitenpost,53.25,6.15,Achtkarspelen,,
,=== Amsterdam (4 položek) ===,,,Amsterdam,,
Q727,Amsterdam,52.366666666,4.883333333,Amsterdam,921468,1000–1098
Q9974,Weesp,52.3069,5.0417,Amsterdam,19334,1380–1383
Q9974,Weesp,52.3075,5.04167,Amsterdam,19334,1380–1383
,=== Barneveld (1 položek) ===,,,Barneveld,,
Q171267,Garderen,52.2331,5.7139,Barneveld,1361,
,=== Bemelen (1 položek) ===,,,Bemelen,,
Q100001,Bemelen,50.847222,5.763889,Bemelen,,6268
,=== Berg en Terblijt (2 položek) ===,,,Berg en Terblijt,,
Q100138,Berg,50.86,5.7817,Berg en Terblijt,,
Q100068,Vilt,50.8572,5.8106,Berg en Terblijt,,
,=== Bergen op Zoom (1 položek) ===,,,Bergen op Zoom,,
Q192508,Bergen op Zoom,51.5,4.3,Bergen op Zoom,66445,4600–4625
,=== Berkelland (2 položek) ===,,,Berkelland,,
Q171266,Geesteren,52.1389,6.5264,Berkelland,2116,7274
Q171265,Gelselaar,52.1689,6.525,Berkelland,,
,=== Bodegraven-Reeuwijk (2 položek) ===,,,Bodegraven-Reeuwijk,,
Q225535,Driebruggen,52.0433,4.7986,Bodegraven-Reeuwijk,3914,
,=== Bonaire (1 položek) ===,,,Bonaire,,
Q2033101,Rincon,12.238333333,-68.3325,Bonaire,,
,=== Breda (3 položek) ===,,,Breda,,
Q40844,Breda,51.588888888,4.775833333,Breda,188078,4847
,=== Brederwiede (1 položek) ===,,,Brederwiede,,
Q59605,Blokzijl,52.7264,5.9617,Brederwiede,961,8356
,=== Breust (1 položek) ===,,,Breust,,
Q100032,Oost-Maarland,50.7947,5.7131,Breust,,
,=== Coevorden (1 položek) ===,,,Coevorden,,
Q231877,Zweeloo,52.7936,6.7303,Coevorden,806,
,=== Doetinchem (1 položek) ===,,,Doetinchem,,
Q171272,Gaanderen,51.9281,6.3447,Doetinchem,,
,=== Drenthe (4 položek) ===,,,Drenthe,,
Q798,Assen,52.995277777,6.560555555,Drenthe,68836,
Q60425,Meppel,52.703333333,6.191666666,Drenthe,34386,7940–7945
,=== Edam-Volendam (1 položek) ===,,,Edam-Volendam,,
Q77056,Edam,52.516666666,5.05,Edam-Volendam,18828,
,=== Ede (2 položek) ===,,,Ede,,
Q2473978,Ede,52.0436,5.6667,Ede,72460,6710–6718
Q58526,Harskamp,52.1311,5.7519,Ede,,6732
,=== Eemsdelta (5 položek) ===,,,Eemsdelta,,
Q995,Appingedam,53.316666666,6.866666666,Eemsdelta,11721,9900–9903
Q322986,Delfzijl,53.333333333,6.916666666,Eemsdelta,,9904–9909
,=== Eijsden (9 položek) ===,,,Eijsden,,
Q100003,Gronsveld,50.8086,5.73,Eijsden,,6247
Q100004,Mariadorp,50.7739,5.7244,Eijsden,,
Q100006,Mesch,50.7631,5.7328,Eijsden,211,
Q100032,Oost-Maarland,50.7947,5.7131,Eijsden,,
,=== Eijsden-Margraten (21 položek) ===,,,Eijsden-Margraten,,
Q100002,Banholt,50.79,5.8075,Eijsden-Margraten,,6262
Q100001,Bemelen,50.847222,5.763889,Eijsden-Margraten,,6268
Q99999,Eckelrade,50.8067,5.7656,Eijsden-Margraten,,6251–6252
Q100003,Gronsveld,50.8086,5.73,Eijsden-Margraten,,6247
Q100037,Margraten,50.816666666,5.816666666,Eijsden-Margraten,,6269
Q100004,Mariadorp,50.7739,5.7244,Eijsden-Margraten,,
Q100006,Mesch,50.7631,5.7328,Eijsden-Margraten,211,
Q100034,Mheer,50.7828,5.7931,Eijsden-Margraten,960,6261
