wikidata_id,name,latitude,longitude,administrative_division,nuts_code,toid
,=== Abbots Langley (1 položek) ===,,,Abbots Langley,,
Q19174,Bedmond,51.721666666,-0.410555555,Abbots Langley,,4000000074553162
,=== Aberdeen City (1 položek) ===,,,Aberdeen City,,
Q36405,Aberdeen,57.15,-2.1,Aberdeen City,GB-ABE,4000000074560731
,=== Aberdeenshire (6 položek) ===,,,Aberdeenshire,,
Q3979,Brideswell,57.4411,-2.70028,Aberdeenshire,,4000000074562324
Q206547,Pennan,57.679,-2.261,Aberdeenshire,,4000000074561960
Q3981,Rothienorman,57.410833333,-2.464444444,Aberdeenshire,,4000000074561151
Q3984,Ruthven,57.5081,-2.81278,Aberdeenshire,,4000000074562726
Q3982,Strathdon,57.1996,-3.07574,Aberdeenshire,,4000000074560955
,=== Adur (4 položek) ===,,,Adur,,
Q511380,Coombes,50.863,-0.308,Adur,,4000000074572436; 7000000000016239
,=== Aintree Village (2 položek) ===,,,Aintree Village,,
Q406146,Aintree,53.4793,-2.9373,Aintree Village,,4000000074560937
,=== Albrighton and Donington (1 položek) ===,,,Albrighton and Donington,,
Q578454,Donington,52.643,-2.285,Albrighton and Donington,,7000000000009328
,=== Aldbrough (3 položek) ===,,,Aldbrough,,
Q592275,Tansterne,53.8196,-0.145826,Aldbrough,,
,=== Allerdale (2 položek) ===,,,Allerdale,,
Q570839,Greysouthen,54.648,-3.441,Allerdale,,4000000074549571; 7000000000013218
,=== Almondsbury (3 položek) ===,,,Almondsbury,,
Q592667,Easter Compton,51.5333,-2.61667,Almondsbury,,4000000074570822
,=== Ancroft (1 položek) ===,,,Ancroft,,
Q595470,Ancroft Northmoor,55.703,-2.06,Ancroft,,
,=== Angus (4 položek) ===,,,Angus,,
Q513803,Balmirmer,56.5393,-2.68618,Angus,,
Q203953,Douglastown,56.6139,-2.95149,Angus,,4000000074556166
,=== Appleton (1 položek) ===,,,Appleton,,
Q621563,Appleton Thorn,53.3508,-2.5441,Appleton,,4000000074556619
,=== Ards (3 položek) ===,,,Ards,,
Q116772,Ballygowan,54.5,-5.8,Ards,,
Q135444,Millisle,54.608,-5.529,Ards,,
,=== Ards and North Down (6 položek) ===,,,Ards and North Down,,
Q149569,Ballywalter,54.542,-5.48,Ards and North Down,,
Q806551,Bangor,54.66,-5.67,Ards and North Down,,
Q116767,Crawfordsburn,54.65,-5.733,Ards and North Down,,
Q135047,Groomsport,54.667,-5.617,Ards and North Down,,
,=== Argyll and Bute (22 položek) ===,,,Argyll and Bute,,
Q211904,Arden,56.02,-4.63,Argyll and Bute,,4000000074553002
Q212088,Cardross,55.9667,-4.63333,Argyll and Bute,,4000000074813571
Q247920,Clynder,56.0167,-4.81667,Argyll and Bute,,4000000074553365
Q211892,Kilcreggan,55.985,-4.82601,Argyll and Bute,,4000000074548487
Q499893,Muasdale,55.6001,-5.68461,Argyll and Bute,,4000000074578977
Q248076,Port Bannatyne,55.86,-5.08,Argyll and Bute,,4000000074551478
Q219427,Rhu,56.0219,-4.78417,Argyll and Bute,,4000000074553364
Q213377,Rosneath,56.011,-4.80249,Argyll and Bute,,4000000074553363
Q219509,Saddell,55.5314,-5.51111,Argyll and Bute,,4000000074551219
Q496395,Skipness,55.7669,-5.345,Argyll and Bute,,4000000074552721
Q596798,Tarbet,56.203,-4.717,Argyll and Bute,,4000000074548283
Q212090,Tayinloan,55.6572,-5.66472,Argyll and Bute,,4000000074551959
Q499886,Taynuilt,56.433055555,-5.2325,Argyll and Bute,,4000000074550144
